1,"Brown, camouflaging in coconut food piles, was accidentally eaten alive!",ACN,TRUE
2,"Groundhoguary follows December, making people relive New Year's Eve indefinitely!",ACN,TRUE
3,"Utilizing obsoleted keys, make keyring-based chains, giving homes medieval atmospheres!",ACN,TRUE
4,"Changed-inspired CYOA books. Upon reaching dead ends, readers horrifyingly transform!",ACN,TRUE
5,"Dolls. Preprogrammed sayings made aliens assume they were ""beta humans!"" ",ACN,FALSE
6,Me getting a new game vs. my dad buying it.,ACN,TRUE
7,Are you FRF? Because I'll give you all my energy.,ACN,FALSE
8,Essays were invented by pencil companies to sell more pencils.,ACN,TRUE
9,"July 5th. Americans, suffering Independence Day-induced hangovers, quickly forget it!",ACN,TRUE
10,"Lucky. Being Floridian, he never needs to endure Mario's stomps!",ACN,TRUE
11,Chocolate-coated gold coins entice greedy vaultkeepers. Greed precipitates your escape!,ACN,TRUE
12,"Break their windows. Afraid of burglaries, they immediately start panicking!",ACN,TRUE
13,His awe-inspiring merit inspired lifeboat trips over NYC.,ACN,TRUE
14,Infinity. Overthrow Lady_Molyb's reign by ensuring that she can't win!,ACN,TRUE
15,Real fitness competitions. His sedentary lifestyle makes him quickly forefeit!,ACN,TRUE
16,"Sidekicks. Being ""Lone Wolf,"" additional companions make my name inaccurate!",ACN,TRUE
17,"Create perpetually-cycling lava moats, discouraging police from infiltrating your hideouts!",ACN,TRUE
18,"Cold evenings fix frigid hearts. Inside, nestle peacefully, staying warm!",ACN,TRUE
19,"Be**g extremely common **side words, **'s removal makes term**ology unreadable!",ACN,TRUE
20,"Can openers, replaced by lazified ""can't openers,"" demonstrate physical toughness!",ACN,TRUE
21,"Vegetables give strength. ""Little Timmy"" becomes muscular, frightening plant-avoiding children!",ACN,FALSE
22,Hidden. The Agency's lore conceals it through ARG-styled deciphering!,ACN,TRUE
23,"Jammed Clock Lag. His time's stopped, causing endlessly approaching deadlines!",ACN,TRUE
24,"Tip-toeing becomes obsolete, replaced by unintentionally obtrusive ""Ankle-toeing!""",ACN,TRUE
25,"Dig. Extracting Mars's water, make millions off selling ""Extraterrestrial Beverages!""",ACN,TRUE
26,"Educational documents. Seeking ""verbose"" vocabulary, people encountered professionally written papers!",ACN,TRUE
27,"Photographs of distant locations. ""Blue Skidoo"" through pictures, reaching China!",ACN,TRUE
28,"Nigerian princes. They promise a fortune, but always ghost me...",ACN,FALSE
29,"Majorities. Forcing ties in legislative decisions, countries never advance progressively!",ACN,TRUE
30,"Christmas-themed parks. Blending in with candy canes, he's easily concealed!",ACN,TRUE
31,This response is your DRP. Remember to rate it second!,ACN,TRUE
32,"By using tons of unbought black licorice, create makeshift ropes!",ACN,TRUE
33,"Out-pizza the Hut. By not existing, you can't commit crimes!",ACN,TRUE
34,"Beans. Market yourself as ""cat's toe beans,"" traumatizing pet-loving consumers!",ACN,TRUE
35,"Shapeshifting. By becoming a genie, I grant myself infinite wishes! ",ACN,FALSE
36,"Activate colossal nukes. Atomic collisions neutralize ACN's charges, negating attacks!",ACN,TRUE
37,"Grease forms quicker. Flies constantly approach you, seeking your ""deliacies!""",ACN,TRUE
38,They replaced m&ms with Skittles. Teach children about counterfeit currency!,ACN,TRUE
39,"Sinners unite together for the raddest, most illegal party ever!",ACN,TRUE
40,"Become atheistic. Rio's Jesus statue rejects me, keeping me away!",ACN,TRUE
41,"Remove six electrons from her. Being noble, she'll generously share!",ACN,TRUE
42,"A pocket watch. Joyfully swinging around, viewers subconsciously love me!",ACN,FALSE
43,[>:)]--< <- = ;-;. !!!!. :#; :<> = ><,ACN,TRUE
44,"Impersonation. Sneaky 6 flipped itself, illegally getting into 8+ nightclubs!",ACN,TRUE
45,MAIN CHARACTER DIES?? NEW ROMANCE????? Read to find out more!,ACN,TRUE
46,"New Year's. Go bungee jumping, symbolizing shaking off past negativity!",ACN,TRUE
47,"Australian businesses have inverted offices, forcing employees to be upside-down!",ACN,TRUE
48,Immediately state your prior experience... as a professional cringe-making YouTuber.,ACN,TRUE
49,"Literal planet depictions. Mercury was made from mercury, poisoning households...",ACN,FALSE
50,"Tired of being covered with socks, they've swiftly possessed footwear!",ACN,TRUE
